ID,CEMETERY,SEX,AGE
BA84_2573,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2594,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2640,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2643,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_2659,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2669,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2692,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2695,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_2698,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_2701,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2722,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_2725,Medieval-Bermondsey Abbey,MALE,UNCLASSIFIED ADULT
BA84_2743,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_2753,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2758,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_2762,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2765,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_2801,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2812,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2815,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2828,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2844,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_2849,Medieval-Bermondsey Abbey,MALE,UNCLASSIFIED ADULT
BA84_2852,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2854,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_2858,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_2861,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2865,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2871,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2876,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2888,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2929,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2959,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_2964,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_2967,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3005,Medieval-Bermondsey Abbey,MALE,UNCLASSIFIED ADULT
BA84_3025,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3031,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3048,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3079,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3093,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3096,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_3104,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3127,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3146,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3157,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_3170,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3175,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3178,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3184,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_3187,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3190,Medieval-Bermondsey Abbey,MALE,UNCLASSIFIED ADULT
BA84_3200,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3217,Medieval-Bermondsey Abbey,MALE?,UNCLASSIFIED ADULT
BA84_3220,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_3223,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3231,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3236,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_3242,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3245,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3251,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3256,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3259,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3262,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3268,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3274,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3290,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3312,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3342,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3400,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3442,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3487,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3490,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3501,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3512,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3515,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3531,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3534,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3538,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3541,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3555,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3558,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3569,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3572,Medieval-Bermondsey Abbey,MALE,ADULT 18-25 YEARS
BA84_3575,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3602,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3607,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3613,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3616,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3632,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3723,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3726,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3729,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
BA84_3792,Medieval-Bermondsey Abbey,MALE,ADULT 36-45 YEARS
BA84_3798,Medieval-Bermondsey Abbey,MALE,ADULT >46 YEARS
BA84_3817,Medieval-Bermondsey Abbey,MALE,ADULT 26-35 YEARS
