ID,URM3,URM2,URM1,URP4,URP3,URC1,URI2,URI1,ULI1,ULI2,ULC1,ULP3,ULP4,ULM1,ULM2,ULM3,LRM3,LRM2,LRM1,LRP4,LRP3,LRC1,LRI2,LRI1,LLI1,LLI2,LLC1,LLP3,LLP4,LLM1,LLM2,LLM3
BA84_3798,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2573,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2640,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2643,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present
BA84_2669,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2692,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2701,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_2722,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_2725,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BA84_2753,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BA84_2758,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2762,NA,NA,NA,NA,present,present,present,present,NA,present,present,present,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2765,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_2815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present
BA84_2828,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_2852,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2861,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present,present,present,present
BA84_2865,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2871,NA,NA,present,present,present,present,present,present,present,NA,NA,present,present,present,present,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_2888,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2964,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_2967,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,present,present,present,present,present,NA,NA,present
BA84_3005,NA,NA,NA,present,present,present,present,present,NA,NA,NA,NA,present,NA,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present
BA84_3048,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3093,present,present,present,present,present,present,present,present,NA,NA,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3104,NA,NA,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3127,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_3157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,NA,NA
BA84_3175,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3187,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3200,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3217,NA,NA,NA,present,present,present,present,present,present,present,present,present,present,NA,NA,NA,NA,NA,present,NA,present,present,present,NA,NA,NA,NA,NA,NA,NA,NA,NA
BA84_3220,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3223,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3242,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3245,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
BA84_3251,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA,present,present,present,present,present,present,present,present,present,present,present,present,present,present,NA
BA84_3256,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present,present
