ID,T23,T24,T25,T26,T38,T41,T42,T43,T44,T45,T46,T47,T22,T14,T15,T16,T17,T18,T27,T28,T31,T32,T33,T34,T35,T36,T37,T48,T13,T11,T12,T21
BA84_2573,22,0,0,0,0,NA,0,NA,0,0,0,0,22,0,0,NA,NA,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA
BA84_2594,NA,NA,NA,NA,0,NA,0,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA
BA84_2640,0,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0,12,0,0,NA,0,NA,0,NA,NA,NA
BA84_2643,0,0,0,0,0,NA,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,22,0,0,0,0,0,21,0,0,0
BA84_2659,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,0,0,0,0,0,NA,NA,NA,NA,NA
BA84_2669,11,0,0,NA,0,0,0,12,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,22,NA,0,0,0,NA,11,NA,11,NA
BA84_2692,12,0,0,0,NA,0,31,21,NA,0,NA,0,31,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,31,31,31,NA
BA84_2695,12,0,0,0,0,NA,22,22,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,12,22,32,NA
BA84_2698,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
BA84_2701,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BA84_2722,22,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,NA,11,NA,NA,0
BA84_2725,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
